theme,subcategory,count
Ads related issues,Ads gating / too many ads,154
Ads related issues,Misleading ads / bait-and-switch,33
Ads related issues,Ads related issues,7
Ads related issues,Story mismatch vs ads,5
Coins related issues,Too expensive / high coin cost,301
Coins related issues,Subscription needed / request,125
Coins related issues,Too slow unlock / few free episodes,52
Content discovery issues,Search/discoverability issues,40
Content discovery issues,Poor recommendations/irrelevant suggestions,20
Content discovery issues,Auto-starts other series,1
Content discovery issues,Lack of new content,1
Content quality & format,AI voices / quality,297
Content quality & format,Visual vs audio expectation,52
Listening related issues,Crashes / app not working,80
Listening related issues,Offline / download issues,69
Listening related issues,Buffering / won't load,13
Listening related issues,Listening related issues,11
Listening related issues,Playback jumps / episode switching,9
Listening related issues,Notifications / interruptions,7
Localization & Availability,Missing languages / dubbing,13
Other,Other,424
Payments & Support,Support unresponsive,36
Payments & Support,Billing / refund / trial issues,30
Payments & Support,Payments & Support,12
Payments & Support,Unauthorized charge / auto pay,11
