day_index,week_bucket,week_label,line_index,reviewer,rating,sentiment,language,categories,subcategories,review_text
2,1,Week 1,5,Kev Pick,1,Negative,,Monetization & Pricing;Playback & Performance,Ads gating / too many ads;Offline / download issues,complete and total garbage. of all the ads I wish I could eliminate this is the worst. don't let your kids download either.
2,1,Week 1,37,Rusty Buckets,1,Negative,Spanish,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Playback jumps / episode switching,"""Interesting story, but the cost is absolutely ridiculous. I've spent almost $300 in 3 weeks, I'm only on episode 278 of 450, and they're writing more so it's an unending story. A giant money pit. It keeps switching me to other stories I'm not interested in, probably taking my coins. As soon as the rest of my coins are used I'll be deleting this app. Do yourself a favor and don't install it. Go buy yourself 30 paperbacks for $300."""
2,1,Week 1,125,Tommy Lewis,2,Negative,Danish,Monetization & Pricing;Playback & Performance;Content & UX,Subscription needed / request;Ads gating / too many ads;Playback jumps / episode switching;Notifications / interruptions,500 Ep's in & you get notifications about skipping Ep's to find it starting between Ep's 10-50 forcing you to scroll 100s to get where it left off. unrealistic token value. Uses tokens without asking. 20+ ads to unlock 2-3 Ep's is ridiculous. Having 2 ads in place of 1 is dishonest. Ad's auto open to store or you have to close the same ad 2-3 times. X is deliberately smaller than appears so you open links instead of closing ads. Ads for PocketFM on other apps intentionally missrepresent stories.
2,1,Week 1,131,Brandon,1,Negative,English,Playback & Performance,Crashes / app not working,"""The app has had a bug for awhile, they dont fix it even if they update."""
2,1,Week 1,157,Alex vdD,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Subscription needed / request;Ads gating / too many ads;Offline / download issues,"""The app's publishers really can't get enough... With every update, the amount of work you have to do to unlock new episodes gets worse. Why not just have a monthly subscription model so you can listen to as much as you want? -No, I'd rather have lots of microtransactions or stupid rip-offs with ads, or download and play apps to unlock coins."""
2,1,Week 1,177,Pappu Nishad,1,Negative,English,Content & UX,Visual vs audio expectation;AI voices / quality,"""Pocket FM app mein episode ka video play nahi ho raha hai. Play button press karne ke baad bhi video start nahi hota. Audio ya video dono nahi chal rahe hain. Internet sahi kaam kar raha hai, aur app bhi latest version pe hai. Fir bhi video play nahi ho raha hai."""
2,1,Week 1,185,vijay pratap,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Unauthorized charge / auto pay;Offline / download issues;Visual vs audio expectation,"""These bastards get the auto installed and then deduct the money. I am sharing the information with all of you. Do not download it. After deducting the money, these people will tell the audio and you will not get the video. And first they will deduct one rupee and after that 599 will be deducted automatically"""
2,1,Week 1,207,audvikreddy.k lkg,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;Misleading ads / bait-and-switch;Offline / download issues;AI voices / quality,"""False and Promise – Misleading, Frustrating, and FAKE I downloaded PocketFM after seeing an ad that clearly claimed the entire series was free. That was a blatant lie. After just a few episodes, the app demanded payment or coins to continue. This is classic bait-and-switch—misleading users just to boost downloads. To make matters worse, many of the stories seem copied from English originals and simply repackaged as audio content. There’s"""
2,1,Week 1,245,PRIYA PANDEY,1,Negative,German,Playback & Performance,Crashes / app not working,properly not working
2,1,Week 1,277,Heidi Feldman,1,Negative,English,Playback & Performance;Content & UX,Offline / download issues;Story mismatch vs ads,Downloaded just to delete it and very disappointed. Very sad the story changes from what you originally watch before downloading the app. The stories suck once you download and start listening to them.
2,1,Week 1,368,Amritlal Maurya,1,Negative,English,Playback & Performance,Buffering / won't load,Audio just buffering. Cleared the cache too. Why is this happening
2,1,Week 1,374,Purple Dragon,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Offline / download issues,DO NOT DOWNLOAD!! THEY CHEAT U OUT OF COINS AND REPEAT EPISODES WASTING URE COINS...
2,1,Week 1,392,American Pride3,1,Negative,English,Playback & Performance,Playback jumps / episode switching,So apparently if you start a story over it goes crazy jumping back and forth between chapters. What is wrong with the IT employee's that you have that you can't get a simple story app to work correctly. Fix immediately. Thank you
2,1,Week 1,486,Chris Reeme,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Offline / download issues;AI voices / quality,I love listening to this daily however the offers to complete task for coins is becoming more of a SCAM when they claim that they can't validate things just to get out of rewarding you for completing tasks. and yes they were on games that I have never played as well as they were downloaded through the offer page in the pocket FM app. the partners still want to claim that they can validate it even after I have provided screenshots of proof of completion. Do better POCKET FM.
2,1,Week 1,500,Athena cortez,1,Negative,English,Playback & Performance,Offline / download issues,"""So, frustrating you can't add another account once you download the app. There is no way of contact someone for help. The instructions they give you are so vague."""
2,1,Week 1,506,ARBAB KHAN,1,Negative,English,,,free episode is not opening
2,1,Week 1,514,uttam bhagat,2,Negative,English,Playback & Performance,Crashes / app not working,the app stops frequently and starting the paused file sometimes does not work.
2,1,Week 1,576,Sabirali mollick Mehenatka gamign,1,Negative,English,Playback & Performance,Offline / download issues,"""please note download please , this app pay money , then his Staart the , and my 499 autopay deposit app"""
2,1,Week 1,592,Steven Coutant,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX;Payments & Support,Too expensive / high coin cost;Misleading ads / bait-and-switch;Crashes / app not working;AI voices / quality;Billing / refund / trial issues,"""Predatory with the pricing of coins, also charges you different amounts than what advertised, just paid 4 coins for 4 episodes and it charged me 26!! The ai generated artwork stopped working 100s of episides earlier and has never been addressed despite dozens of comments on each episode. Also never received coins based on purchases through connected apps. The customer service is literally non existent. This app continually gets worse but also continually increases in price. Do better greedy pig"""
2,1,Week 1,668,JPC4th,1,Negative,English,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,"""Save your time and money. The app is basically a money-making scam. Episodes will randomly jump from 2 coins to 8 or more coins. Surveys to earn coins will become unavailable. Thus, in order to listen continually, you have 2 other choices. You can pay a small fortune for more coins. Or you can """"complete tasks"""" to earn coins, but it requires you to give away your personal information."""
3,1,Week 1,716,Richard Chan,1,Negative,English,Playback & Performance,Offline / download issues,for past month nothing on here works right when first downloaded it was ok but it like the last update messed it up sometimes it will work 5 minutes after I open it others it won't work at all I'm on the verge of un installing it
3,1,Week 1,790,Justin Burtle,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Ads gating / too many ads;Offline / download issues,"""I am changing my review because I just had to get a new phone when I downloaded this app now you can only watch 10 ads a day? seriously? your prices for coins are insane compared to the cost of the episodes. Honestly, I will give it a try but I normally listen to this app for 5 and a half hours a day. If I can't fill that with the story I care to listen to I'll probably be deleting this app. It may be sad but I watch over 100 adds a day to use this app."""
3,1,Week 1,832,Jatlife Jat,1,Negative,English,Playback & Performance,Crashes / app not working,doesn't work properly
3,1,Week 1,872,Tanja larsen,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Ads gating / too many ads;Offline / download issues;AI voices / quality,"""First, your ad is in German, and then when you download it, everything is in English. So, the audio settings are only in English. So, it was deleted again."""
3,1,Week 1,884,Satish Chauhan,1,Negative,Danish,Playback & Performance,Crashes / app not working,The app is not working properly
3,1,Week 1,928,Sharon Slone,2,Negative,English,Playback & Performance,Crashes / app not working,"""I loved the app when I first got it and now more and more it keeps crashing. I'd be in the middle of a story and it'll just crash for no reason, in the last 30 minutes it crashed 5 times."""
3,1,Week 1,954,Tracy I,1,Negative,English,Playback & Performance;Content & UX,Offline / download issues;AI voices / quality,"""Dissatisfied! watched a movie-type story on Facebook, downloaded the app to continue the story only to find it completely different! Catfishing at its finest .... No """"Movie"""" just thumbnails, one voice for all Characters (again each spoke for themselves in the """"Movie""""), different storyline ...."""
4,1,Week 1,1018,Christian Bordi,1,Negative,German,Playback & Performance;Content & UX,Crashes / app not working;AI voices / quality,"""Until yesterday, I liked it even if it felt like spending too much money. Because at some point, curiosity stops you from only listening to one or two episodes a day (with lots of repeats). But when unlocked episodes are suddenly locked and you have to pay again to continue listening, it's really too much."""
4,1,Week 1,1030,rahman amber,1,Negative,German,Playback & Performance,Offline / download issues,the app is slow af and at times it refuses to download
4,1,Week 1,1038,Ch Venkat,1,Negative,English,Playback & Performance,Crashes / app not working,App is not working
4,1,Week 1,1149,DEMOLISHER M,2,Negative,English,Playback & Performance;Content & UX,Offline / download issues;AI voices / quality,"""I truly am addicted to pocket fm the stories are amazing, but the annoying part is the expiring of downloaded episodes. Sometimes I can't even play stories offline, I have to be online first before I can play them. what happen if I've used all my data and I ain't got wifi close by?"""
4,1,Week 1,1189,Calvin Ebbert,1,Negative,English,Monetization & Pricing;Playback & Performance,Subscription needed / request;Ads gating / too many ads;Offline / download issues,I never actually used the app I only downloaded it so I could leave this review about the ads it is extremely embarrassing when Im in my car and I have to hear about Quinn's STD blood or the superhero who forced himself on somebody's mom these stories do not intrigue me whatsoever they're just embarrassing when I'm out in public not even just because of the vulgarness of them but because I know pocket FM has a whole try not to cringe challenge and I don't want to look like I like this app
