day_index,theme,subcategory,count
2.0,Ads related issues,Ads gating / too many ads,11
2.0,Ads related issues,Misleading ads / bait-and-switch,4
2.0,Ads related issues,Story mismatch vs ads,3
2.0,Ads related issues,Ads related issues,1
2.0,Coins related issues,Too expensive / high coin cost,16
2.0,Coins related issues,Subscription needed / request,8
2.0,Coins related issues,Too slow unlock / few free episodes,2
2.0,Content discovery issues,Search/discoverability issues,2
2.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
2.0,Content quality & format,AI voices / quality,11
2.0,Content quality & format,Visual vs audio expectation,7
2.0,Listening related issues,Offline / download issues,6
2.0,Listening related issues,Crashes / app not working,2
2.0,Listening related issues,Playback jumps / episode switching,2
2.0,Listening related issues,Buffering / won't load,1
2.0,Listening related issues,Notifications / interruptions,1
2.0,Other,Other,9
2.0,Payments & Support,Unauthorized charge / auto pay,2
2.0,Payments & Support,Billing / refund / trial issues,1
3.0,Ads related issues,Ads gating / too many ads,3
3.0,Coins related issues,Too expensive / high coin cost,6
3.0,Coins related issues,Subscription needed / request,2
3.0,Coins related issues,Too slow unlock / few free episodes,1
3.0,Content discovery issues,Lack of new content,1
3.0,Content quality & format,AI voices / quality,6
3.0,Content quality & format,Visual vs audio expectation,1
3.0,Listening related issues,Offline / download issues,3
3.0,Listening related issues,Crashes / app not working,2
3.0,Listening related issues,Playback jumps / episode switching,1
3.0,Localization & Availability,Missing languages / dubbing,1
3.0,Other,Other,12
3.0,Payments & Support,Billing / refund / trial issues,1
3.0,Payments & Support,Payments & Support,1
4.0,Ads related issues,Ads gating / too many ads,4
4.0,Ads related issues,Misleading ads / bait-and-switch,2
4.0,Ads related issues,Ads related issues,1
4.0,Coins related issues,Too expensive / high coin cost,7
4.0,Coins related issues,Subscription needed / request,3
4.0,Coins related issues,Too slow unlock / few free episodes,2
4.0,Content quality & format,AI voices / quality,11
4.0,Listening related issues,Listening related issues,3
4.0,Listening related issues,Offline / download issues,3
4.0,Listening related issues,Crashes / app not working,1
4.0,Localization & Availability,Missing languages / dubbing,1
4.0,Other,Other,10
4.0,Payments & Support,Billing / refund / trial issues,1
5.0,Ads related issues,Ads gating / too many ads,4
5.0,Coins related issues,Too expensive / high coin cost,7
5.0,Coins related issues,Subscription needed / request,2
5.0,Content discovery issues,Search/discoverability issues,2
5.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
5.0,Content quality & format,AI voices / quality,8
5.0,Content quality & format,Visual vs audio expectation,1
5.0,Listening related issues,Crashes / app not working,4
5.0,Listening related issues,Offline / download issues,2
5.0,Other,Other,9
5.0,Payments & Support,Support unresponsive,2
7.0,Ads related issues,Ads gating / too many ads,1
8.0,Ads related issues,Ads gating / too many ads,5
8.0,Coins related issues,Subscription needed / request,5
8.0,Coins related issues,Too expensive / high coin cost,4
8.0,Coins related issues,Too slow unlock / few free episodes,1
8.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
8.0,Content discovery issues,Search/discoverability issues,1
8.0,Content quality & format,AI voices / quality,8
8.0,Content quality & format,Visual vs audio expectation,2
8.0,Listening related issues,Offline / download issues,4
8.0,Listening related issues,Buffering / won't load,2
8.0,Listening related issues,Crashes / app not working,1
8.0,Listening related issues,Notifications / interruptions,1
8.0,Other,Other,13
8.0,Payments & Support,Billing / refund / trial issues,3
8.0,Payments & Support,Payments & Support,1
9.0,Ads related issues,Ads gating / too many ads,5
9.0,Ads related issues,Misleading ads / bait-and-switch,2
9.0,Ads related issues,Ads related issues,1
9.0,Coins related issues,Too expensive / high coin cost,4
9.0,Coins related issues,Subscription needed / request,1
9.0,Coins related issues,Too slow unlock / few free episodes,1
9.0,Content discovery issues,Search/discoverability issues,1
9.0,Content quality & format,AI voices / quality,8
9.0,Content quality & format,Visual vs audio expectation,1
9.0,Listening related issues,Crashes / app not working,1
9.0,Listening related issues,Offline / download issues,1
9.0,Listening related issues,Playback jumps / episode switching,1
9.0,Other,Other,8
9.0,Payments & Support,Support unresponsive,1
10.0,Ads related issues,Ads gating / too many ads,1
10.0,Ads related issues,Misleading ads / bait-and-switch,1
10.0,Coins related issues,Too expensive / high coin cost,6
10.0,Coins related issues,Subscription needed / request,5
10.0,Coins related issues,Too slow unlock / few free episodes,1
10.0,Content discovery issues,Poor recommendations/irrelevant suggestions,2
10.0,Content quality & format,AI voices / quality,8
10.0,Listening related issues,Crashes / app not working,2
10.0,Listening related issues,Offline / download issues,1
10.0,Other,Other,10
10.0,Payments & Support,Support unresponsive,1
10.0,Payments & Support,Unauthorized charge / auto pay,1
11.0,Ads related issues,Ads gating / too many ads,3
11.0,Ads related issues,Misleading ads / bait-and-switch,2
11.0,Coins related issues,Too expensive / high coin cost,4
11.0,Coins related issues,Subscription needed / request,2
11.0,Coins related issues,Too slow unlock / few free episodes,1
11.0,Content quality & format,AI voices / quality,7
11.0,Listening related issues,Crashes / app not working,2
11.0,Listening related issues,Offline / download issues,1
11.0,Other,Other,6
11.0,Payments & Support,Support unresponsive,4
11.0,Payments & Support,Billing / refund / trial issues,2
12.0,Ads related issues,Ads gating / too many ads,3
12.0,Ads related issues,Misleading ads / bait-and-switch,2
12.0,Coins related issues,Too expensive / high coin cost,5
12.0,Coins related issues,Subscription needed / request,3
12.0,Content quality & format,AI voices / quality,4
12.0,Content quality & format,Visual vs audio expectation,3
12.0,Listening related issues,Crashes / app not working,3
12.0,Listening related issues,Offline / download issues,2
12.0,Other,Other,11
13.0,Ads related issues,Ads gating / too many ads,3
13.0,Coins related issues,Too expensive / high coin cost,5
13.0,Coins related issues,Subscription needed / request,2
13.0,Coins related issues,Too slow unlock / few free episodes,2
13.0,Content quality & format,AI voices / quality,2
13.0,Listening related issues,Buffering / won't load,1
13.0,Listening related issues,Crashes / app not working,1
13.0,Listening related issues,Listening related issues,1
13.0,Other,Other,11
15.0,Ads related issues,Ads gating / too many ads,1
15.0,Ads related issues,Ads related issues,1
15.0,Coins related issues,Too expensive / high coin cost,8
15.0,Coins related issues,Subscription needed / request,1
15.0,Content discovery issues,Search/discoverability issues,2
15.0,Content quality & format,AI voices / quality,6
15.0,Listening related issues,Offline / download issues,2
15.0,Listening related issues,Crashes / app not working,1
15.0,Listening related issues,Notifications / interruptions,1
15.0,Other,Other,6
15.0,Payments & Support,Support unresponsive,1
16.0,Ads related issues,Ads gating / too many ads,5
16.0,Coins related issues,Too expensive / high coin cost,6
16.0,Coins related issues,Subscription needed / request,2
16.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
16.0,Content discovery issues,Search/discoverability issues,1
16.0,Content quality & format,AI voices / quality,7
16.0,Content quality & format,Visual vs audio expectation,2
16.0,Listening related issues,Crashes / app not working,1
16.0,Other,Other,9
16.0,Payments & Support,Payments & Support,1
16.0,Payments & Support,Support unresponsive,1
17.0,Ads related issues,Ads gating / too many ads,4
17.0,Coins related issues,Subscription needed / request,4
17.0,Coins related issues,Too expensive / high coin cost,4
17.0,Content discovery issues,Search/discoverability issues,1
17.0,Content quality & format,AI voices / quality,9
17.0,Listening related issues,Listening related issues,2
17.0,Listening related issues,Offline / download issues,2
17.0,Other,Other,10
